title:p2_vid_2, start timestamp:2019-11-23T19:40:33.604744-05:00, stop timestamp:2019-11-23T19:42:55.188338-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:1123      , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574556033.691674,5.311933,9.249814,6.676203,5.238047,12.655142,5.003893,4.181288,7.531000,14.175438,24.629528,16.908852,0.445177,6.265501,0.277433,0.487258,18.475691,0.913819,0.691587,0.336867,0.237491,3.969759,9.787109,5.998357,5.957289,12.481034
1574556033.818228,3.752875,6.930450,5.743256,4.670127,12.906868,4.839093,5.954989,7.229280,12.808714,26.394640,18.579741,0.401971,6.291115,0.286471,0.492099,18.187805,1.130237,0.783543,0.340289,0.228590,3.787165,8.168349,5.421279,5.188262,12.849235
1574556033.944521,3.153305,6.148227,6.559433,4.431591,12.739141,4.671038,8.301014,7.609191,11.745392,28.442554,19.847219,0.356896,6.359269,0.317302,0.469718,18.124306,1.300258,0.834904,0.340988,0.213696,3.977457,7.494461,6.330223,4.766117,12.817325
1574556034.071009,2.756422,6.390997,8.560369,4.553531,12.256892,4.531597,10.719646,8.598357,10.843269,30.384081,20.451542,0.312535,6.508159,0.359553,0.428821,18.381405,1.383752,0.833174,0.344111,0.197595,3.888330,7.482543,8.188464,4.721651,12.447948
1574556034.197623,2.430542,6.970519,11.083899,4.949464,11.610822,4.417307,12.638145,9.938060,9.924125,31.787439,20.229914,0.274931,6.747945,0.403825,0.381616,18.949160,1.368735,0.781764,0.352188,0.185986,3.477346,7.650978,10.397962,4.980734,11.868204
1574556034.323958,2.231331,7.401454,13.531253,5.458262,10.908823,4.264993,13.646817,11.326802,9.019069,32.398849,19.189484,0.250420,7.046608,0.443135,0.338146,19.688986,1.284293,0.699361,0.365716,0.183987,2.942312,7.652011,12.473100,5.424792,11.190870
1574556034.450460,2.061777,7.541309,15.481095,5.891731,10.157999,3.998742,13.629142,12.604238,8.363666,32.271915,17.529795,0.239976,7.334690,0.470334,0.302949,20.373188,1.171527,0.614363,0.383764,0.193977,2.373870,7.434267,14.141706,5.909251,10.445815
1574556034.577111,2.006963,7.423540,16.625004,6.117574,9.313717,3.634178,12.730469,13.689949,8.161221,31.679167,15.562274,0.240880,7.523348,0.482476,0.275551,20.806042,1.056525,0.558386,0.407749,0.214579,2.016175,7.069592,15.220381,6.297431,9.615469
1574556034.703594,2.414083,7.248146,16.799782,6.092725,8.382865,3.196631,11.234399,14.393049,8.419936,30.912441,13.588264,0.251300,7.544645,0.484371,0.254225,20.924814,0.940836,0.544869,0.437009,0.241295,2.313432,6.722610,15.593618,6.486441,8.713820
1574556034.830037,3.739856,7.317075,16.005465,5.890595,7.522738,2.794052,9.432760,14.494744,8.976167,30.182863,11.825731,0.268213,7.396472,0.484574,0.240451,20.826839,0.813859,0.563077,0.465312,0.268162,3.521478,6.589900,15.209140,6.460659,7.884964
1574556034.956484,8.950486,7.889699,14.461506,5.711510,6.964627,2.570632,7.582401,13.972126,9.670457,29.509752,10.381365,0.285106,7.130778,0.488275,0.238841,20.692884,0.672496,0.586685,0.482149,0.289418,7.310463,6.785897,14.134891,6.346667,7.348524
1574556035.083048,34.261070,9.539879,12.745337,5.687208,6.860699,2.661509,5.927850,13.163035,10.386520,28.637562,9.292448,0.285731,6.820419,0.499094,0.252038,20.643539,0.528967,0.584895,0.475274,0.301709,22.789497,7.616245,12.690719,6.262591,7.256660
1574556035.209464,107.022972,12.491830,11.700227,5.854155,7.200532,3.357191,4.659865,12.592330,11.147639,27.225122,8.643238,0.275136,6.531833,0.520397,0.278174,20.670338,0.398446,0.548786,0.440401,0.305503,65.515244,9.200294,11.417597,6.280145,7.608336
1574556035.335870,244.278381,16.403742,12.121854,6.236669,7.847896,5.204187,3.922136,12.661486,12.054974,25.229750,8.524680,0.275354,6.291591,0.548760,0.310495,20.685057,0.299036,0.498023,0.382358,0.304809,144.883163,11.309807,10.906920,6.500278,8.282588
1574556035.462416,435.947205,20.653458,14.205247,6.822853,8.581742,8.331190,3.908621,13.339766,13.059589,23.008568,8.945651,0.304258,6.080758,0.571867,0.338867,20.551392,0.249789,0.481674,0.311985,0.303382,254.642670,13.469532,11.389362,6.977301,9.065903
1574556035.588830,641.235352,24.661476,17.479715,7.629510,9.135433,12.538187,4.896562,14.279911,14.022956,21.043669,9.760758,0.360553,5.884842,0.579102,0.354457,20.137733,0.256795,0.553742,0.244842,0.300950,371.152496,15.301549,12.667360,7.726966,9.671499
1574556035.715215,799.009521,28.116825,20.922083,8.643289,9.337020,16.857855,7.134083,15.064417,14.786523,19.658140,10.710733,0.430468,5.716964,0.568285,0.354492,19.434660,0.306859,0.729121,0.198488,0.293678,459.591949,16.812422,14.152810,8.668339,9.888285
1574556035.841674,857.802429,31.030445,23.740341,9.808863,9.183452,20.240845,10.631514,15.541267,15.415051,18.964088,11.547771,0.494629,5.603326,0.538880,0.343430,18.630398,0.378142,0.971028,0.184613,0.277804,490.984467,18.474285,15.483705,9.681039,9.681577
1574556035.968190,797.924500,33.580620,25.727005,11.130700,8.808281,21.488157,15.006409,15.859903,16.497852,18.890903,12.102051,0.535525,5.574582,0.493310,0.329084,18.007713,0.444371,1.203851,0.204558,0.252965,454.687927,20.901073,16.738255,10.749698,9.182657
1574556036.094497,639.866882,35.816040,26.995562,12.716810,8.416431,20.484594,19.479448,16.321224,18.955788,19.232750,12.389287,0.557692,5.641180,0.443925,0.317350,17.771696,0.478748,1.345093,0.251122,0.223881,363.029144,24.341068,18.122318,12.025526,8.631902
1574556036.220703,437.153809,37.384712,27.627890,14.543819,8.149096,17.648621,22.986765,17.175329,23.194971,19.727671,12.584711,0.577582,5.767028,0.410600,0.309639,17.970251,0.469509,1.347217,0.310234,0.197511,247.013657,28.283312,19.690784,13.575741,8.225593
1574556036.347222,249.169418,37.890480,27.805002,16.423655,8.022991,14.288116,24.798847,18.603838,28.638762,20.106365,12.919979,0.608481,5.896724,0.409513,0.304588,18.500469,0.428984,1.218052,0.364502,0.179824,140.062134,31.751743,21.382708,15.309686,8.025247
1574556036.473664,115.614990,36.973335,27.398548,18.030760,7.929554,11.309074,24.724440,20.343201,33.941921,20.095333,13.519748,0.649247,5.985318,0.443875,0.300440,19.170637,0.382719,1.008566,0.400284,0.172536,64.975807,33.606461,22.718363,16.954468,7.934159
1574556036.600038,44.712845,34.508953,25.967188,18.954128,7.709268,9.354185,23.128599,21.888456,37.660439,19.526766,14.360657,0.681957,6.011034,0.505765,0.298834,19.775383,0.350279,0.782958,0.415340,0.174889,25.496437,33.083344,22.965628,18.099884,7.768528
1574556036.726531,17.940094,30.732203,23.210146,18.761986,7.237214,8.298524,20.709480,22.707689,38.758194,18.402334,15.353898,0.692924,5.975370,0.580394,0.307477,20.131020,0.336608,0.609235,0.421625,0.185578,11.116275,30.179167,21.590555,18.252712,7.365559
1574556036.852874,10.140802,26.130663,19.324226,17.269564,6.451306,7.605027,18.109606,22.429249,36.951736,16.866310,16.325981,0.692711,5.882144,0.646574,0.335374,20.102413,0.335584,0.540972,0.435469,0.204661,7.312325,25.567059,18.608887,17.118706,6.629757
1574556036.979210,7.731562,21.147150,14.975375,14.646105,5.379663,6.720298,15.631314,20.918070,32.827137,15.195136,17.131475,0.715450,5.720304,0.683507,0.384162,19.600843,0.337433,0.596796,0.464406,0.233893,6.236414,20.237822,14.628600,14.772568,5.574380
1574556037.105575,6.107464,16.233070,10.893479,11.326103,4.167289,5.398721,13.264615,18.315298,27.515636,13.833386,17.678011,0.769445,5.470099,0.681318,0.443932,18.626381,0.336440,0.763008,0.505093,0.272862,5.232118,14.988258,10.493230,11.614864,4.344388
1574556037.232081,4.860569,11.726721,7.526643,7.961069,3.015201,4.010120,10.902730,14.997963,22.224667,13.246297,17.903246,0.847690,5.151947,0.647281,0.495724,17.278631,0.332053,1.009413,0.545412,0.316346,4.338054,10.398712,6.903063,8.294181,3.147372
1574556037.358373,3.985703,7.897204,5.017170,5.133051,2.082536,2.822567,8.540250,11.488077,17.735874,13.582895,17.772785,0.962250,4.855471,0.599137,0.520429,15.772091,0.324194,1.285350,0.569866,0.354046,3.722201,6.733234,4.219448,5.410722,2.152373
1574556037.484707,3.051090,4.954647,3.342149,3.173363,1.441538,2.164043,6.299458,8.449071,14.380572,14.586239,17.358923,1.112495,4.702746,0.553102,0.509559,14.391628,0.314098,1.526068,0.571678,0.374739,3.210895,4.085531,2.482120,3.317615,1.441986
1574556037.611063,2.406205,2.879112,2.365174,2.061314,1.073037,2.323841,4.413005,6.370898,12.136991,15.757522,16.811773,1.277064,4.788888,0.517445,0.471037,13.433125,0.303128,1.675036,0.555577,0.372574,3.005366,2.354092,1.526610,2.046729,1.013338
1574556037.737140,1.914704,1.548119,1.860197,1.566314,0.897684,3.461799,3.028443,5.301551,10.903363,16.655138,16.282085,1.420604,5.133353,0.491081,0.424015,13.089982,0.290700,1.703268,0.531507,0.350421,2.876902,1.368743,1.099331,1.413320,0.800251
1574556037.863496,1.812033,0.792342,1.653293,1.414664,0.846184,5.479731,2.204232,4.979455,10.510124,17.162607,15.858262,1.517979,5.660214,0.465550,0.387319,13.338995,0.275152,1.617322,0.506070,0.317669,2.928828,0.937878,0.995169,1.162517,0.734090
1574556037.989935,1.853801,0.473168,1.638734,1.421098,0.900249,7.829910,1.900989,5.007277,10.627254,17.490076,15.574117,1.559965,6.223084,0.433992,0.369609,13.939096,0.259675,1.459548,0.479636,0.285924,2.942687,0.875754,1.088724,1.112085,0.788506
1574556038.116228,2.008347,0.470801,1.765696,1.515241,1.068705,9.854145,1.997224,5.013140,10.809387,18.031092,15.414353,1.560109,6.652061,0.394937,0.366073,14.576052,0.253767,1.286959,0.448475,0.263373,2.927971,1.027309,1.316931,1.186668,0.960191
