title:p2_alpha_cal, start timestamp:2019-11-23T19:36:13.125512-05:00, stop timestamp:2019-11-23T19:39:29.652117-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:1559      , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574555773.196269,8.433211,26.925671,15.310474,3.265140,2.139206,4.988164,20.210255,21.016249,9.150438,18.817780,89.796989,3.442627,4.544965,1.356436,0.835856,16.123476,7.034859,8.233679,7.803177,5.864689,3.397570,25.840878,15.810199,3.772514,3.243520
1574555773.322324,5.023105,25.211967,15.998264,3.201538,2.119842,4.733881,18.969313,20.854717,9.182915,16.553892,109.891022,2.970118,3.975302,1.237173,0.780005,21.384665,5.852685,9.472220,5.462668,4.160042,2.527863,24.238668,16.741564,3.630859,3.204064
1574555773.448280,4.237837,21.760777,15.283893,2.941686,2.224852,5.173674,16.243856,18.902390,8.812985,14.288672,127.392090,2.529830,4.055797,1.196378,0.820209,27.569521,4.842684,10.972248,3.664335,2.835974,2.368589,20.968504,16.153545,3.207828,3.141817
1574555773.574128,3.695375,17.810015,13.561048,2.566507,2.418576,5.836538,13.033537,16.073692,8.076869,12.709772,139.805344,2.211575,4.623434,1.230813,0.932077,33.003174,3.959422,12.524338,2.641900,2.063704,2.229120,17.478525,14.363602,2.642382,3.028415
1574555773.700183,3.101439,14.664792,11.364687,2.196355,2.628129,6.329465,10.429019,13.323981,7.225023,12.146277,146.388489,2.037308,5.327869,1.291696,1.058184,36.862015,3.291685,14.010565,2.295506,1.765430,2.030442,15.076027,11.921596,2.120507,2.849425
1574555773.826141,2.633661,12.979671,9.118419,1.941355,2.774588,6.423440,9.083539,11.194141,6.636633,12.494931,148.358490,1.953786,5.810134,1.325709,1.144967,38.636276,2.935980,15.340734,2.330749,1.715026,1.860178,14.235530,9.345304,1.792762,2.619579
1574555773.952097,2.276494,12.442114,7.060417,1.861090,2.794471,6.035624,8.850643,9.577304,6.658232,13.334594,148.013885,1.911058,5.940825,1.313266,1.178504,38.426716,2.885067,16.383875,2.490918,1.731153,1.718167,14.402032,6.990603,1.726051,2.370512
1574555774.078052,2.199417,12.254612,5.250678,1.953250,2.667816,5.221155,9.098992,8.095158,7.480718,14.210195,147.305115,1.908369,5.755114,1.279014,1.186422,36.486839,3.052630,16.943972,2.674267,1.769334,1.752452,14.586205,5.003192,1.899998,2.142627
1574555774.204000,2.210058,11.704006,3.709241,2.156606,2.434408,4.311923,9.164437,6.531733,8.931676,14.874674,146.852310,1.896701,5.326936,1.262381,1.209016,33.247040,3.273717,16.804783,2.786731,1.820816,1.854236,14.019993,3.407365,2.222969,1.979045
1574555774.329954,2.263988,10.600293,2.543246,2.392218,2.175953,3.515708,8.797997,5.155658,10.623155,15.265653,146.070251,1.816306,4.765690,1.283859,1.270196,29.069923,3.329927,15.767958,2.738723,1.850979,2.001394,12.605791,2.252224,2.587919,1.909219
