title:p2_vid_1, start timestamp:2019-11-23T20:06:32.652196-05:00, stop timestamp:2019-11-23T20:10:07.075778-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:1673      , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574557592.723245,4.453287,10.255707,12.550797,4.903740,5.323227,6.179821,7.412459,11.003524,13.795711,18.447153,3.556740,39.171368,0.516007,0.393758,0.630327,18.981091,0.143437,0.564899,0.394015,0.327923,5.230324,11.190047,13.152985,5.419372,5.377337
1574557592.849238,4.190535,9.929910,11.794245,4.982904,5.490303,5.428023,6.462341,8.851475,14.091140,20.137970,3.579202,38.927135,0.516561,0.392535,0.585568,19.467590,0.119283,0.517583,0.422285,0.309998,4.887594,10.949438,12.467347,5.602117,5.450057
1574557592.975534,5.043714,8.935096,10.656821,5.423824,5.615477,5.779456,5.341346,6.691142,14.059367,21.160524,3.566944,38.657272,0.527065,0.400185,0.547583,19.972418,0.104595,0.474318,0.427623,0.287889,5.518235,9.987838,11.641899,6.066645,5.441984
1574557593.101831,6.800722,7.719305,9.635338,6.166979,5.717265,6.911091,4.293777,5.068903,13.680574,21.439905,3.567980,38.460640,0.511053,0.415500,0.532464,20.480927,0.103240,0.454643,0.414474,0.270306,7.001608,8.743564,11.166193,6.783448,5.399219
1574557593.227956,9.150195,6.916859,9.006802,7.005908,5.893702,8.471966,3.618437,4.282950,13.060535,21.026934,3.597120,38.403820,0.475143,0.434467,0.550116,20.950211,0.110309,0.464673,0.391956,0.264627,9.116343,7.899642,11.210785,7.576816,5.444660
1574557593.353949,11.540333,7.043684,8.684085,7.676820,6.233548,10.119266,3.609989,4.205287,12.350329,20.022385,3.714461,38.475384,0.447347,0.451849,0.600297,21.292124,0.122030,0.491754,0.363813,0.272906,11.415450,8.030066,11.506462,8.208306,5.695818
1574557593.480165,13.423754,8.122811,8.314029,7.928948,6.757876,11.589322,4.258130,4.478292,11.613003,18.587444,3.955675,38.617760,0.422485,0.462832,0.671899,21.377518,0.137508,0.513818,0.329866,0.290948,13.385559,9.168813,11.495822,8.436390,6.195657
1574557593.606478,14.142931,9.676573,7.664720,7.690786,7.392467,12.537249,5.288622,4.699334,10.808907,16.913153,4.234012,38.764862,0.390366,0.463672,0.745109,21.119476,0.163330,0.515074,0.288023,0.311175,14.368075,10.804724,10.808122,8.191419,6.879335
1574557593.732796,13.687102,11.125685,6.801118,7.104300,7.973400,12.765318,6.368284,4.668952,9.864137,15.175624,4.459974,38.851612,0.373524,0.452350,0.797017,20.553135,0.211793,0.494985,0.244183,0.326718,14.209693,12.316423,9.502299,7.600702,7.574907
1574557593.859211,13.887631,12.381814,6.056506,6.398480,8.299618,12.324843,7.140620,4.329724,8.788579,13.546687,4.562382,38.841286,0.386805,0.429591,0.812039,19.858047,0.289070,0.472082,0.214127,0.334277,14.386191,13.641191,8.001411,6.858036,8.057487
1574557593.985529,25.888060,13.462286,5.831317,5.816197,8.236799,11.565674,7.301280,3.777017,7.672378,12.173859,4.504032,38.810387,0.413410,0.397967,0.790841,19.263323,0.388770,0.487331,0.216540,0.335360,24.650864,14.863103,6.826858,6.190412,8.165238
1574557594.111833,70.161591,15.030802,6.387218,5.483613,7.771299,10.992670,6.938426,3.499507,6.645455,11.187605,4.380046,38.914024,0.440473,0.364013,0.750805,18.876816,0.501422,0.603097,0.272218,0.340971,62.907902,16.664499,6.360509,5.753922,7.862494
1574557594.237835,163.819611,17.858185,7.707754,5.343122,7.027717,11.133267,6.415489,4.301188,5.814534,10.686988,4.282288,39.259502,0.500609,0.339381,0.715791,18.586315,0.635129,0.858834,0.388820,0.368843,143.793152,19.804125,6.687396,5.559620,7.259460
1574557594.364249,305.635437,22.062962,9.501345,5.301364,6.207361,12.266091,6.141413,6.843339,5.253659,10.651762,4.246493,39.847378,0.603899,0.334997,0.704151,18.117756,0.801351,1.236089,0.545994,0.432565,265.993469,24.260674,7.592086,5.594907,6.549371
1574557594.490498,466.443024,26.859173,11.292880,5.315323,5.520362,14.168852,6.531150,11.083508,4.967041,10.944592,4.334679,40.547241,0.718692,0.356674,0.722326,17.188139,0.991908,1.657058,0.700326,0.530686,404.379272,29.062357,8.689242,5.853446,5.940860
1574557594.616784,601.373291,30.763367,12.628561,5.406782,5.115860,16.448952,7.738125,16.082659,4.886436,11.366753,4.502277,41.165771,0.830955,0.397814,0.761370,15.708013,1.177434,2.018225,0.803994,0.642546,519.778320,32.594894,9.659862,6.315953,5.590282
1574557594.743076,662.936890,32.309513,13.219225,5.636038,5.004339,18.450550,9.442457,20.334524,4.973631,11.754929,4.608000,41.555504,0.944178,0.442855,0.802394,13.897103,1.310221,2.227792,0.828980,0.734078,571.569397,33.385960,10.318712,6.935594,5.522425
1574557594.869369,631.388550,30.700459,13.004755,5.940347,5.075051,19.726324,11.073253,22.413933,5.260349,12.073007,4.543365,41.634109,1.018697,0.474806,0.827368,12.227518,1.339525,2.236740,0.778980,0.772425,542.779724,30.787653,10.595914,7.516040,5.640718
1574557594.995777,516.043457,26.220730,12.111897,6.135359,5.173176,19.827253,12.163558,21.598049,5.781274,12.306923,4.249039,41.437679,1.013687,0.481051,0.824983,11.204488,1.245791,2.052037,0.682036,0.741723,442.183319,25.346460,10.450450,7.762796,5.793307
1574557595.121920,356.320648,20.128952,10.734168,6.037302,5.191295,18.687288,12.584992,18.190596,6.498291,12.428775,3.785585,41.106792,0.946786,0.458340,0.792124,11.119735,1.051073,1.728492,0.574914,0.650718,304.317352,18.575539,9.856206,7.462680,5.861487
1574557595.248163,201.877319,14.059279,9.052445,5.560778,5.111372,16.514355,12.522494,13.381975,7.318074,12.426116,3.302275,40.717819,0.873326,0.411315,0.733147,11.941894,0.811514,1.345846,0.485075,0.528892,171.802765,12.200226,8.801272,6.583488,5.805472
1574557595.374443,88.762428,9.251845,7.292383,4.782070,5.011001,13.884495,12.314791,8.655222,8.173492,12.323302,2.909066,40.308720,0.819922,0.350754,0.659646,13.355906,0.590045,0.983681,0.422218,0.412867,75.168526,7.416623,7.418074,5.318201,5.676317
1574557595.500833,28.067106,6.180645,5.739794,3.914181,5.008986,11.310215,12.264544,5.132560,9.011384,12.152718,2.712471,39.963974,0.797614,0.290743,0.588435,14.954317,0.429061,0.688919,0.381679,0.330098,23.550076,4.583504,6.014056,4.009896,5.581848
1574557595.627128,7.765287,4.559203,4.705326,3.179844,5.163248,9.127770,12.455276,3.203947,9.771468,11.943976,2.743800,39.729553,0.818197,0.242668,0.535791,16.429716,0.344029,0.475822,0.351397,0.287805,6.257572,3.321522,4.999867,2.981194,5.599850
1574557595.753419,5.136111,3.829312,4.371826,2.705629,5.427173,7.483696,12.760211,2.573252,10.406708,11.742246,2.932502,39.598473,0.884295,0.214787,0.512679,17.646385,0.321313,0.343298,0.317008,0.274794,3.865609,3.009796,4.644930,2.398668,5.737311
1574557595.879806,6.316385,3.892024,4.709226,2.532423,5.702749,6.458827,12.942380,2.698957,10.861984,11.577135,3.221935,39.587280,0.970771,0.210360,0.522668,18.573669,0.339355,0.289338,0.274371,0.272578,4.596060,3.454487,4.924136,2.276839,5.957732
1574557596.006104,8.442780,4.610629,5.439764,2.595140,5.900301,5.970461,12.854007,3.223246,11.074711,11.456216,3.530146,39.651176,1.039979,0.226721,0.559317,19.147461,0.377885,0.307919,0.232584,0.268982,6.173604,4.442711,5.532193,2.487049,6.211802
1574557596.132401,11.726512,5.787874,6.310247,2.820464,5.967792,5.780127,12.436065,3.944663,11.008660,11.383250,3.721722,39.661400,1.074249,0.255953,0.608512,19.265747,0.418353,0.377085,0.201068,0.261329,8.969368,5.788728,6.200615,2.884195,6.433746
1574557596.258663,16.357389,7.209934,6.980980,3.154651,5.897644,5.550098,11.683142,4.706297,10.686144,11.339934,3.734894,39.493572,1.073596,0.287471,0.656815,18.889336,0.458200,0.462073,0.183088,0.253499,13.115555,7.269987,6.632259,3.365108,6.551779
1574557596.385042,22.102566,8.588920,7.219969,3.528509,5.717728,5.137887,10.672644,5.383735,10.246101,11.303357,3.588693,39.147919,1.026809,0.311633,0.696889,18.112881,0.509663,0.534940,0.176070,0.252349,18.307346,8.597558,6.694751,3.831220,6.514787
1574557596.511326,28.191689,9.642873,7.132928,3.855441,5.472008,4.632339,9.452098,5.859543,9.959517,11.279837,3.360204,38.730778,0.929593,0.322367,0.727150,17.186262,0.571602,0.578795,0.174954,0.262077,23.674530,9.562788,6.525573,4.168858,6.311327
1574557596.637608,33.696564,10.455702,7.183141,4.112567,5.204768,4.293372,8.054233,6.020938,9.995358,11.287287,3.167430,38.315994,0.804563,0.323923,0.752168,16.471317,0.632756,0.587608,0.174171,0.280889,28.168583,10.285631,6.518405,4.328554,5.978582
1574557596.763882,37.619724,11.358058,7.886824,4.385638,4.961945,4.355014,6.575617,5.854454,10.304693,11.348131,3.094191,37.883190,0.686612,0.333016,0.780704,16.315653,0.680840,0.567724,0.168160,0.301896,30.703892,11.044906,7.059290,4.378535,5.607590
1574557596.890257,39.309116,12.574421,9.397565,4.794998,4.783244,4.964134,5.249718,5.534701,10.595330,11.443548,3.218915,37.369492,0.584578,0.369082,0.819135,16.903614,0.706112,0.533981,0.153377,0.316584,30.792295,11.980978,8.216428,4.445059,5.304924
1574557597.016525,38.505745,14.048486,11.378870,5.402830,4.708178,6.238975,4.413611,5.380936,10.519684,11.541010,3.533378,36.699043,0.503425,0.439424,0.865178,18.155750,0.702295,0.512166,0.129991,0.319969,28.528282,12.991302,9.690664,4.641668,5.167782
1574557597.142773,35.379333,15.353679,13.115002,6.152712,4.781869,8.091734,4.278807,5.615763,9.950772,11.607005,3.902254,35.852100,0.451194,0.535067,0.907182,19.754259,0.666930,0.530993,0.103525,0.313470,24.546129,13.715168,10.923922,5.001445,5.263039
1574557597.268900,30.319834,15.800856,13.824514,6.873349,5.029350,10.337317,4.802234,6.201416,9.110633,11.661435,4.196399,34.943470,0.438375,0.634059,0.929916,21.289782,0.604149,0.602392,0.081393,0.303622,19.691467,13.663292,11.362938,5.432437,5.590487
