title:p1_vid_2, start timestamp:2019-11-20T18:00:15.611142-05:00, stop timestamp:2019-11-20T18:02:37.288462-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:1109      , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574290815.626812,236.651627,70.968132,230.957794,40.056194,7.466455,643.283264,166.338165,757.637756,137.897507,120.877777,202.428589,127.808647,368.978210,60.690926,9.825758,129.913620,40.087894,137.672134,23.036118,4.952455,258.451141,88.170486,290.653320,50.947033,10.267712
1574290815.752874,208.683304,76.711983,258.014679,49.394382,9.133499,571.302490,179.940308,803.433228,150.720306,129.608322,185.672302,133.645737,408.897491,72.606186,10.468298,109.168732,45.487808,147.373367,27.786520,5.667252,225.920563,107.963211,305.733887,59.972794,11.111212
1574290815.878834,179.974655,83.892540,275.003082,59.775734,10.729013,518.805420,203.969177,817.852051,167.685974,137.925568,172.491455,139.221359,436.529785,86.075974,10.783710,92.310715,51.529469,150.774307,32.317791,6.205255,205.815018,128.578003,306.725800,66.360710,11.506710
1574290816.004791,156.775055,87.181961,284.439697,69.873093,11.775479,490.124725,220.304749,821.376526,184.501297,144.099350,165.877426,138.116074,455.913544,100.171600,11.017285,81.983627,54.388969,150.164459,36.340832,6.387645,198.513855,138.727722,299.589661,69.800034,11.356908
1574290816.130746,144.803711,84.691330,290.472168,77.772903,11.994841,480.974304,219.657608,829.248169,194.826080,146.365997,166.453308,128.849838,470.670227,112.044724,11.304113,78.720566,52.161636,147.832138,39.307621,6.126479,200.355652,132.393875,289.713593,70.223595,10.659554
1574290816.256697,146.963394,78.038765,297.524414,82.851791,11.443330,482.144104,202.925125,846.657776,196.976273,143.664474,171.443298,113.967827,482.592773,119.499382,11.557783,81.309868,45.478870,145.557037,40.935398,5.473403,206.281662,111.197380,280.838318,68.325325,9.518009
1574290816.382655,161.968781,70.722954,307.551361,86.245140,10.500248,485.607513,178.535934,866.384583,195.770187,136.308350,177.168884,97.730019,490.337952,122.625458,11.527043,87.524376,36.869030,144.102905,41.414345,4.622463,212.902390,82.985069,274.336517,65.627426,8.177914
1574290816.508508,185.044937,65.614609,316.475677,89.953766,9.679974,486.810455,156.167908,868.485962,199.745407,126.359367,181.483032,84.733032,486.641418,123.902451,11.039203,94.682297,29.194595,142.092972,41.287674,3.858815,217.943375,57.258839,267.749603,64.188972,7.018622
1574290816.634465,208.969177,63.528809,316.604980,96.660652,9.456812,481.923737,141.770248,831.782776,220.420105,117.175575,182.638596,78.169991,463.582306,129.023911,10.376661,100.081711,24.444851,137.208862,41.839733,3.459766,218.968231,41.388260,257.446899,67.293724,6.457377
1574290816.760525,226.307129,62.303482,300.623932,108.311951,10.029520,466.803619,133.099777,746.659485,265.107666,111.892769,178.737015,76.843910,416.842377,144.590836,10.493177,101.452087,22.474932,127.067261,44.449749,3.550553,213.772034,36.507427,239.912460,77.837029,6.746835
1574290816.886381,231.189499,58.864067,266.250793,124.893890,11.321304,437.576599,124.857292,623.352966,329.977997,111.561142,167.942322,77.289223,350.189819,173.861389,12.473372,97.374847,21.774084,111.159050,49.663296,4.060132,200.494934,38.882034,214.949722,95.971153,7.828001
1574290817.012347,221.086319,52.533310,218.786209,145.995193,13.142509,392.177551,114.976089,486.992188,404.083588,115.187523,149.480118,77.777542,276.762085,216.631439,16.903463,87.543762,21.229445,92.008110,57.668571,4.843340,178.162491,44.402153,187.420059,119.897926,9.470849
1574290817.138521,196.715408,44.677883,168.781265,170.244156,15.247323,330.762085,103.897263,365.963593,471.694733,121.076241,123.389954,77.281982,212.875351,267.560486,23.294359,72.697266,20.333019,73.618126,67.840698,5.757695,147.629440,49.819851,162.940018,145.541580,11.383410
1574290817.264498,162.468964,36.985752,126.282951,195.544525,17.475370,258.730682,91.655388,276.277191,519.814148,128.041611,92.078285,73.912437,169.847885,318.426788,30.303652,54.967751,18.791609,59.218708,79.013016,6.758406,112.837082,52.385880,144.321442,168.448486,13.380841
1574290817.390778,125.001190,30.296442,98.019928,220.176239,19.629406,187.082489,77.623390,223.266708,544.161316,134.833160,60.516632,65.671112,151.390686,362.490234,36.165730,37.491081,16.367132,50.701981,90.174927,7.831080,80.045868,50.206470,132.488083,186.217651,15.325456
1574290817.517161,90.952644,24.913137,85.398308,243.255569,21.670033,126.842155,62.427757,204.151520,550.375305,140.722702,34.165005,52.770931,153.345581,396.741669,39.718380,23.135061,13.297174,47.930592,100.810753,9.044138,54.792202,43.658932,126.554047,199.605530,17.336445
1574290817.643227,64.522667,20.538208,83.523918,263.368164,23.697245,84.682060,47.389385,205.276321,549.281494,145.619476,16.539190,37.955227,164.570389,420.136841,40.675053,13.506623,10.087435,48.415844,110.475136,10.468636,39.334812,34.618851,122.583763,211.052948,19.672871
