title:p1_vid_3, start timestamp:2019-11-20T18:05:04.061894-05:00, stop timestamp:2019-11-20T18:08:13.515817-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:1504      , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574291104.061894,58.657795,9.858886,10.298442,44.366833,184.063675,58.420559,22.620790,38.623276,235.078476,645.536621,31.352678,22.205042,13.722305,145.305954,344.300659,11.373693,1.367322,6.221139,35.058601,119.155342,37.789551,16.578466,11.854525,39.316456,173.164352
1574291104.188026,42.425804,7.614756,9.624634,46.034443,156.064377,46.385868,18.701630,40.417152,292.466095,629.167053,19.410625,15.007253,15.412142,162.300629,343.628387,7.461063,0.929222,7.066965,42.969666,112.647644,31.028023,12.571218,10.087466,40.773159,149.350998
1574291104.314022,26.938959,5.386436,9.419513,48.838657,134.482315,35.624447,15.421835,43.627644,355.821198,622.365356,10.216848,9.447041,17.385431,173.971252,346.696075,4.368768,0.693831,7.891335,49.997166,107.239861,23.035957,9.085032,8.679435,42.005329,127.099785
1574291104.440146,15.086156,3.743607,9.601696,51.607475,117.909439,27.994614,13.600336,48.257839,414.258667,618.537170,5.053992,6.454669,19.854906,179.909897,349.943024,2.692302,0.732694,8.727167,54.829563,102.848236,16.026367,6.594160,7.942458,42.206692,108.083763
1574291104.566373,7.816562,2.987200,10.008292,53.582592,104.731987,23.957449,14.083504,53.321606,460.200989,609.311646,3.205242,5.731350,23.128111,181.543961,348.662506,2.350330,1.036075,9.684778,57.317478,99.100487,11.510884,5.069482,7.807791,41.492329,93.267891
1574291104.692411,4.276252,3.026632,10.563293,54.685127,93.517036,22.857727,17.299688,57.750614,488.577789,586.642883,2.973108,6.209857,27.541162,181.332977,339.183563,2.779498,1.538867,10.974013,58.324120,95.165390,9.680925,4.266871,8.097190,40.722862,82.217194
1574291104.818673,2.906295,3.452061,11.346972,54.986645,83.428101,23.713013,22.629576,60.838821,496.103760,549.138123,2.999885,6.781902,33.358444,180.829239,320.756714,3.377464,2.098148,12.787412,58.907970,90.372375,9.595920,3.825286,8.599083,40.693905,73.736984
1574291104.944837,2.480005,3.865354,12.491240,54.484222,74.416641,25.943897,28.899187,62.735886,481.433807,504.578705,2.980849,7.073831,40.967911,181.183075,296.169250,3.824632,2.596741,15.291260,59.688404,84.705956,10.068386,3.509916,9.137709,41.627529,66.533745
1574291105.070989,2.261172,4.061704,14.148924,52.919708,67.335945,28.472794,34.274975,64.995010,445.462158,468.410919,2.991396,7.224716,50.455429,182.553085,270.960358,3.982307,2.993544,18.486643,60.527462,79.066109,10.217546,3.289908,9.860568,42.928123,60.182720
1574291105.197154,2.240063,4.008373,16.157444,50.380100,63.148106,29.969271,36.951092,69.290306,394.774323,456.367310,3.117689,7.351688,60.736835,184.385803,250.740768,3.845494,3.321791,21.878551,61.074299,74.735626,9.709414,3.273579,10.974342,43.924530,55.217155
1574291105.323170,2.551449,3.796720,18.114544,47.488117,61.831875,29.428055,35.841591,75.774078,340.907776,474.662842,3.409126,7.537242,69.999039,186.976517,238.226822,3.531784,3.621666,24.699331,61.127560,72.349998,8.566289,3.533312,12.510661,44.390701,52.150284
1574291105.449329,3.239426,3.557055,19.478670,44.975204,62.286434,26.678692,31.430040,82.708763,295.551300,516.533020,3.825719,7.798263,76.422935,191.192657,232.926010,3.240061,3.937430,26.199142,60.682884,71.611710,7.056159,4.086324,14.199220,44.478565,50.896076
