Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH
1574557592.849339,4.562512,9.706904333333334,11.667287666666667,5.103489333333333,5.212051,10.709107666666666,12.420743666666667,5.696044666666666
1574557593.5434895,13.565090999999999,9.556127125,7.749239375,6.97355225,13.566722875,10.68344075,10.064744000000001,7.480691125
1574557594.5536776,427.225231375,25.225648875,10.731704375,5.5702435,369.173069375,26.48832775,8.794271375000001,6.4115347499999995
1574557595.5008159,99.17789771428572,8.843037142857142,6.657881142857143,4.1017467142857145,84.22256571428572,7.508813857142857,6.665505857142858,4.432995142857143
1574557596.4481604,24.6807925,8.778551375,7.19392725,3.655926,19.988146625,8.621660875,6.67243925,3.7360722500000003
1574557597.4585018,24.343533,12.1078055,10.285672375,7.005101,18.735950125000002,10.66282675,9.022973875,5.735396124999999
1574557598.4690957,38.621342125,18.34581625,7.89420875,5.53218875,41.687590625,15.761709875,9.750119875,5.611434249999999
1574557599.4796097,30.25392475,5.6992065,12.621264125,4.73060775,20.383070625,4.691612,12.3734,5.256280375
1574557600.4890447,305.907284625,39.3023335,18.915512,5.70223325,106.9923645,17.969205625,15.193349875000001,6.011565875
1574557601.4977877,37.02012475,18.73391725,12.637550125,5.9359273749999995,16.31192975,14.906603500000001,11.4849165,6.126695125
1574557602.5068786,20.681162875,13.841284,5.538410125,6.038379875,10.454520375,10.54407475,5.186969875,6.24913925
1574557603.5158918,2.90746625,6.99998675,5.27609825,3.4225435,3.660553875,7.40148825,5.74980775,3.5795491249999998
1574557604.5248668,136.7585645,21.836336625,5.983210375,2.647808375,92.71854375,17.039077625,6.111944375,2.9256189999999997
1574557605.5335805,277.275245375,19.693143875,5.275451875,3.928237,186.160719125,13.909629375,6.126891375,4.380474625
1574557606.5423841,62.648767,24.407601125,13.600743625,4.16035975,53.44609525,19.492099500000002,12.337664875,3.596666375
1574557607.5508943,18.847265625,10.73569475,9.335869625,3.69932,19.080915875000002,8.738240875,8.759708875,3.50309875
1574557608.496322,2.979536714285714,3.335766857142857,7.781066285714286,5.013288,3.9190457142857142,4.125459571428571,8.475835857142858,4.355941571428572
1574557609.442292,4.83125625,3.177771625,4.683894125,4.627022,3.7292425,2.977330625,5.0371555,5.012447625
1574557610.4511788,4.365898,5.582139124999999,6.412381,4.450082625,3.18948275,5.6963968750000005,7.642566125,4.93098
1574557611.4596264,5.558854625,5.267167875,6.305139625,4.231708875,3.8677194999999998,4.6348335,6.30271425,4.534749625
1574557612.468435,2.82106575,3.33623375,4.225651,3.986618625,3.0318375,3.5458575000000003,4.524126,3.9865809999999997
1574557613.4776323,2.719444,3.4462580000000003,3.939718875,2.36496625,2.9760005,4.4384296249999995,4.15784725,1.919667875
1574557614.486582,3.313418875,5.8821765,2.12329875,3.5940825,3.2014489999999998,5.823101625,2.64243175,3.3086555
1574557615.4956923,1.442864375,3.303109875,3.9456615,2.275767,2.26836625,3.611664125,4.26532575,2.576934375
1574557616.5048263,1.3640765,9.98387225,5.583909875,3.6903665,2.31654575,9.189641,5.1109163749999995,3.5902808750000004
1574557617.513454,2.445026625,4.906678625,2.312968875,3.1375086249999997,2.700785125,5.7943165,2.26312225,3.2425135000000003
1574557618.5222845,249.190998125,28.597704625000002,6.141480625,3.596722625,156.32480275,20.3744065,6.7785205,3.873907375
1574557619.5313776,131.59292087499998,10.218785125,4.6946575,3.77988275,84.269558,7.283994,4.917948375,4.3343525
1574557620.5406728,2.9795295,4.856456625,9.689911,4.08190425,3.378717625,4.62543975,9.041364375,4.24392225
1574557621.5494306,3.1749553749999997,4.217844,5.958613125,2.4100915,2.70854475,4.44156425,5.901885875,2.084048375
1574557622.5578158,3.292386875,2.082622375,7.9569085,3.953722375,3.08147525,2.00439475,8.92825475,3.8028533749999998
1574557623.503175,1.9887372857142858,2.4677325714285714,5.5753892857142855,2.9233545714285714,2.711105,2.7119945714285714,5.332840142857143,2.579372142857143
1574557624.447993,241.03822825,20.220121,4.5481875,3.61347275,144.797839125,13.324279,4.13957,4.118858125
1574557625.4558396,61.194220875,6.092322375,6.256315874999999,3.2871135000000002,38.152518875,4.71163875,5.459108125,3.373833
1574557626.4635677,5.5481365,1.057509375,3.537313,3.426066625,1.868445,1.093851375,4.567868875,3.512262125
1574557627.4712784,2.545486625,4.81751175,7.610637375,2.757168625,1.898833,4.993707625,8.21142,3.07611925
