Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH
1574630717.5166457,5.996602428571428,2.177081428571429,1.020294,2.0105,6.245037428571429,1.3474875714285715,1.037699857142857,2.442376142857143
1574630718.4610834,5.213040625,2.708970625,1.121989875,1.9892452500000002,4.306226125,2.561982,0.554593875,1.821779
1574630719.4683068,78.41104262500001,36.21006,6.41538475,3.066090625,63.120668374999994,28.489732125,3.9109745,3.903871
1574630720.4756434,68.550683375,31.9044415,5.43240725,2.263213625,55.581830125,26.898139375,4.176812625,3.45103125
1574630721.4832394,6.866775625,6.414146125,2.5187378750000002,1.289050375,4.47054775,5.008026375,2.1449418749999998,2.5784003749999997
1574630722.4905863,25.744337,6.560262,3.832516875,2.508195625,12.900492625,3.0104555,1.8269145,1.56250475
1574630723.4980502,43.68060925,11.1988975,5.737976,2.209505,21.029121625,4.7028138749999995,2.9087321250000002,1.976569625
1574630724.5054393,4.04861525,2.562380375,1.825217125,2.23621375,8.73582625,3.106763875,1.53559275,2.891227125
1574630725.5127542,32.16754325,3.953236625,1.646487,1.524803875,18.9347915,3.73744475,1.204809625,2.6695634999999998
1574630726.5220418,225.04718975,20.639126125,7.08714075,1.577525125,52.642301249999996,5.14035075,1.866249875,1.672652375
1574630727.532602,125.4978385,27.138458875,11.142467,2.7208566249999997,14.205812125,3.612966625,0.8605430000000001,1.749216875
1574630728.5426264,58.513045625,18.034749875,2.816408,2.44190025,29.268157375,9.22485725,2.13310375,1.6059082500000001
1574630729.552013,22.54154425,6.211628875,3.1995023750000002,2.8938675000000003,16.5598305,5.132411375,7.7862670000000005,1.980559
1574630730.4981177,17.875001,2.545744857142857,2.5365318571428572,2.6469771428571427,11.622053142857142,2.3563745714285713,4.036595,2.0359218571428572
1574630731.4436176,20.194116,3.1688685000000003,1.4376235,1.322600875,9.590397125,2.199387,1.29744425,2.14460225
1574630732.452448,69.62864825,8.551799125,2.82876425,2.1139942499999997,31.337603875,2.805497125,2.7459949999999997,1.799934375
1574630733.4613502,65.63985725,22.463552625,2.80735575,2.086502875,23.1576355,11.189608625,1.91378575,2.269408125
1574630734.469727,57.787584125,15.24499425,3.51398525,1.3739047500000001,24.035808625,7.498319125,1.57782725,1.405968
1574630735.4786117,17.715185625,5.10492925,2.025016,0.92828875,8.27155525,2.791795375,2.381540125,1.144408125
1574630736.4880958,73.01313025,9.974075375,2.2243425,2.06582175,24.338846750000002,3.825807875,3.1734262500000003,1.608966875
1574630737.4970045,76.936744125,13.658786875,4.513056125,0.86950125,31.486261125000002,4.582166,1.645944125,0.813274375
1574630738.5056605,60.9339065,10.948885375,4.502178125,1.0717895,29.304583875,3.573764625,1.714512875,0.94082325
1574630739.5153627,1.87932525,1.156106625,1.323487,0.852735125,1.802999,1.167691625,1.360878875,0.561773125
1574630740.5259068,69.016410125,8.683472125,2.222309375,1.34978175,31.426336374999998,7.075359375,1.8867426250000001,1.032044875
1574630741.533737,11.74192225,1.8605953750000002,1.38551625,1.591118625,10.724931375,1.559618625,1.304632,1.616650375
1574630742.5411665,4.0492152500000005,1.8642665,1.0824535,1.83262975,6.174625375,1.9456177499999998,0.511293125,1.167578875
1574630743.5485396,3.721155,1.713916625,1.0443,1.168463625,3.514971875,1.155856625,1.1051057499999999,1.216345125
1574630744.5559359,6.1624565,2.644306125,1.66895275,2.174782375,3.54621275,2.3380199999999998,1.64656725,1.493373375
1574630745.5002925,4.1705627142857145,1.2140837142857142,1.7690365714285714,2.1088558571428573,5.000701142857143,1.6225755714285715,1.8198271428571429,1.7340718571428573
1574630746.444782,4.956476375,1.224776875,0.6862827499999999,1.562596125,4.8159128749999995,1.5062575,0.9347531250000001,1.166840125
1574630747.452172,2.2970915,1.6018285,0.8361215,1.56571975,4.343929875,1.7279895,1.03722725,1.801794625
1574630748.459448,17.980571125,3.44647575,2.0046018749999996,2.57062375,12.276782625000001,2.5509611249999997,1.391385625,1.414810125
1574630749.4665737,43.0635405,3.59941725,1.919949125,1.1739275,25.931389625,2.360964125,0.698014625,1.8350928750000002
1574630750.4731793,3.249935375,1.581579,0.7527115,1.280294375,4.0256125,2.2072955,0.61201625,1.941939875
1574630751.479684,10.01259275,2.422355625,1.338359875,1.595335375,10.259492999999999,2.6505845,1.294810875,1.8118135
1574630752.4865086,2.6450865,2.357158625,1.3359676249999999,2.212575375,3.0942985,2.598237375,1.79777125,1.5210569999999999
1574630753.4940717,18.892980875,8.318247874999999,1.34482575,1.454952125,17.64395175,3.21817925,1.157712625,2.03570525
1574630754.5018985,44.22195475,7.55989175,2.419641125,1.704496375,20.279336,1.528966875,1.610131125,1.5990535
1574630755.5101907,58.477289875,8.589858375,3.828901625,2.1389605,24.269510375,3.07454625,1.6636425,1.24683275
1574630756.5189188,5.0118825000000005,1.892879125,1.576436875,1.60095975,3.588121875,1.281725625,1.704056625,1.888877125
1574630757.5274131,58.466909625,7.806862125,1.21964275,1.707373,31.142561,3.910921875,2.062986375,1.5834915
1574630758.535903,116.56986549999999,19.217104875,3.46060275,1.295014,63.400730625,9.650108625,1.768893125,1.313026125
1574630759.5447752,100.462948125,7.477381375,2.403429125,1.593393875,57.598550125,3.636492625,1.145942,1.536015
1574630760.5538378,41.250512375,7.336427125,3.352978375,1.30999975,19.227246,3.486587875,1.746783625,0.994212
1574630761.501213,99.74295357142857,22.49525842857143,4.571667,1.4421192857142857,48.824299,9.482746,1.5490592857142857,1.1857952857142857
1574630762.4487922,65.573935125,12.86705325,1.762501125,1.723348625,33.067896,6.55911125,0.95222875,2.4327895
1574630763.4591134,58.677286125,9.339485999999999,1.625900375,1.51585175,32.268652124999996,7.241037375,0.846345625,1.36564
1574630764.4685574,43.132951625,10.461457375,1.572183,1.76278475,28.876955375,6.707790875000001,0.94536925,1.71065275
1574630765.4778352,75.03325125,12.42506675,2.57085075,1.154879625,36.684806625,7.059933375,2.1830515,1.115450125
1574630766.487931,84.119493875,8.834374375,3.122629625,1.158840375,39.408250625,3.654775875,2.383680375,0.7193415
1574630767.4989839,5.1903478750000005,1.514149,1.113250625,1.17059975,3.837191125,1.466889625,0.997042875,1.51334975
1574630768.5098417,9.395104374999999,2.573233375,1.587841,2.366359875,7.7322602499999995,1.33901,1.53186425,1.7146605
1574630769.5196674,93.426601375,13.78715875,3.1846755,0.9872960000000001,45.687253,4.7367395000000005,1.597892375,2.1724
1574630770.5291402,4.9540445,1.527856875,1.074602375,0.7251887499999999,5.5224815,2.278303625,1.151220125,0.93144475
1574630771.5384705,4.870092625,1.013408,1.320710625,1.884961125,8.188283375,2.015742875,1.28278725,1.5401268750000001
1574630772.547295,45.717363,7.611582375,2.21154875,1.4054638750000001,19.936297749999998,6.35049675,1.035863875,1.588500875
1574630773.5553956,66.05649175,7.6285445,1.8620973749999998,0.959601,34.249448625,2.961444375,0.988665625,1.1867661250000001
1574630774.499354,28.05744585714286,4.943230428571429,1.4085361428571428,1.2674191428571429,17.934788714285713,2.8885252857142856,0.543695,1.7944485714285714
1574630775.443113,25.984847249999998,4.9769035,1.7682316249999999,1.773685625,18.094653625,2.939576625,1.29061375,1.6607075
1574630776.4501138,41.700744625,6.4199735,2.764038375,1.38562175,12.7940175,4.7605605,1.269802375,2.0755475
1574630777.456966,46.630623,9.2946835,4.35252325,1.434981125,13.7150265,4.567321375,2.423706875,1.2061893750000001
1574630778.463898,41.64901075,7.84879625,2.015625375,1.3950515,23.981301375,4.258795125,1.8649927499999999,0.850686375
1574630779.4707935,55.59341475,7.210483125,2.48202675,1.3619485,35.3825495,4.10494175,2.182588375,1.220849625
1574630780.4775481,55.0274715,5.120281375,2.610032875,1.930401,21.484722,2.141646,2.029330375,1.22919975
1574630781.483986,36.793560750000005,5.1173335,2.491893875,1.60603725,14.326373375,3.953663,1.919074375,1.04373275
1574630782.4906955,33.329187375000004,5.418722375,1.10299225,1.504965625,17.324872625,4.010265125,2.753489625,1.835455875
1574630783.4975362,24.7133065,6.083946125,2.52405575,2.233216625,12.582592125,3.702623625,2.136999625,1.634623125
1574630784.5040548,31.996382125,6.128075125,2.423072625,2.204088,14.608319250000001,3.9120586250000002,1.528767,1.456652375
1574630785.510316,3.5803735,1.915362125,0.71575525,2.031260625,2.99479125,1.326276875,0.69430775,1.642952
1574630786.516952,21.644882625,7.970424875,1.2759495,2.420025625,11.44699975,4.7208127499999994,1.9878947500000002,1.46562425
1574630787.5239527,47.378455875,5.85175,1.629748,1.1539995,19.5345975,3.086939,2.53980325,1.01411925
1574630788.5308151,3.335709875,1.24208425,1.637824375,2.344823875,3.150684375,1.983295375,1.683590125,1.418169375
1574630789.5384636,52.456195375,5.496190125,1.16522675,2.375962875,24.27810275,3.21658775,1.299844125,1.7193935
1574630790.5472922,19.0659705,2.97612925,1.35980525,2.5778953749999998,11.79454475,2.3662805000000002,1.0157755,1.284041375
1574630791.4950159,39.92285142857143,8.677058142857142,2.6515514285714286,1.3412562857142858,29.741955,5.5679297142857145,2.126959285714286,1.067694142857143
1574630792.4428298,63.28413725,6.57814875,4.180159375,0.83245375,34.596814,4.4288065,3.21523625,1.4598455
1574630793.4537969,75.89395225,10.1459785,2.14695125,0.511834375,29.375166125,3.23792175,2.4180755,0.9859519999999999
1574630794.4647229,11.952298625,1.9753443750000002,0.965000875,1.374904625,7.8613915,1.5930624999999998,1.029549625,1.1886505
1574630795.475191,7.327053,2.339567,1.000111,2.02156225,5.655138,1.52900075,2.03070625,1.37311475
1574630796.4841602,6.32119,4.368468125,2.15276475,2.28059775,5.03852125,3.4659251249999996,2.352078375,1.27266775
1574630797.4941897,90.33052025,24.492138375,8.73559775,2.29166375,59.409786624999995,15.251443875,6.169880375,1.49871775
1574630798.5049813,49.66357025,10.034084,4.82976825,1.54595175,25.62753575,6.205525875,3.8349006250000004,2.029696125
1574630799.516328,65.627707125,11.02306925,4.9242505,2.3476285,30.522206375,7.2237675,4.3213115,2.27198375
1574630800.5275235,94.3996385,24.521268125,7.1166765,2.10760925,41.675355125,11.16080225,4.3152155,1.6896276250000002
