title:p6_vid_1, start timestamp:2019-11-24T23:10:15.924981-05:00, stop timestamp:2019-11-24T23:13:50.515278-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:1702      , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574655015.932766,33.047955,3.069318,1.562383,1.081684,1.269323,82.261406,19.447540,25.893913,91.476234,108.626053,38.155598,8.111902,7.417289,0.585500,0.722566,19.897224,5.135334,2.741082,0.889257,0.722821,15.768782,3.249808,3.845935,1.270801,1.288252
1574655016.058736,21.237501,2.411560,1.529038,1.103745,1.320352,72.212135,19.133194,25.172342,86.990417,116.380775,39.082405,7.444938,6.119810,0.533325,0.668258,24.269014,4.179976,2.309528,0.787889,0.595404,12.419335,2.339616,3.218242,1.264437,1.301703
1574655016.184836,14.220265,2.272430,1.807337,1.167599,1.408125,66.991318,18.607132,27.013170,80.361267,122.246620,38.805676,6.858572,5.281226,0.512065,0.596340,29.657866,3.552981,2.053817,0.720711,0.505499,11.478121,2.106101,2.815591,1.323424,1.356735
1574655016.310831,10.887385,2.372110,2.203857,1.257323,1.473740,66.391205,17.952192,31.706850,75.530174,124.274345,38.063011,6.482105,4.812476,0.508726,0.513120,34.416992,3.240548,1.927777,0.677025,0.459356,13.000895,2.388566,2.561942,1.379533,1.399043
1574655016.436847,9.806185,2.529637,2.508461,1.388628,1.504660,69.334717,17.318499,38.818474,75.164223,121.880363,37.639019,6.338978,4.676656,0.525800,0.440905,36.859684,3.135315,1.895237,0.669144,0.460979,17.090214,3.072939,2.376004,1.417457,1.418125
1574655016.562633,9.995418,2.680292,2.571159,1.575097,1.512792,75.213554,16.861181,47.138050,79.220818,116.281685,37.939259,6.352822,4.841538,0.585668,0.406925,36.060978,3.053522,1.939961,0.718600,0.508199,23.370552,4.001380,2.185401,1.448699,1.413747
1574655016.688649,10.935762,2.815864,2.359142,1.801114,1.508712,83.576744,16.741652,55.200085,85.504921,109.746307,38.772835,6.338130,5.250372,0.696600,0.428153,32.278908,2.903100,2.053663,0.826044,0.587179,30.254341,4.909514,1.924738,1.481898,1.378796
1574655016.814681,12.161769,2.906135,1.959813,2.013597,1.495182,93.941681,17.125360,62.031498,91.577072,104.331093,39.561653,6.102980,5.954141,0.843582,0.505542,26.767691,2.767363,2.288182,0.971099,0.679437,35.641941,5.532001,1.596570,1.510689,1.305638
1574655016.940809,13.104094,2.946234,1.541898,2.143691,1.469660,105.516273,18.157265,66.668983,95.829071,100.756317,39.600231,5.636439,7.066094,1.000441,0.624487,21.082619,2.773543,2.741865,1.150266,0.781305,37.625267,5.653663,1.256614,1.519321,1.198098
1574655017.066839,13.151978,2.948959,1.263544,2.140350,1.431798,116.694870,19.946995,68.363937,97.824883,98.386055,38.304096,5.037984,8.626748,1.141582,0.757472,16.416780,3.003222,3.481723,1.380357,0.907859,35.437431,5.208254,0.972215,1.500623,1.077308
