title:p5_vid_2, start timestamp:2019-11-24T22:15:47.268599-05:00, stop timestamp:2019-11-24T22:18:08.822863-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:1109      , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574651747.292163,15.722458,4.223415,2.311944,1.145692,1.532944,23.740072,887.924194,51.476006,42.126568,151286.218750,9.788742,8.802662,3.524827,12.756804,31.162745,31.411501,213.345337,16.708162,71.614609,327.085022,1.519146,1.109786,0.457108,0.437320,3.002544
1574651747.418044,9.233547,2.436847,1.363962,0.779880,1.573488,46.345375,909.905823,51.802090,39.083603,151395.890625,11.312876,9.252604,3.318634,14.765668,34.738556,35.206017,215.053329,14.722337,68.977837,342.677185,1.020996,1.286503,0.542007,0.389422,3.036760
1574651747.544057,4.145410,1.399682,0.793754,0.591064,1.624297,85.733170,920.638916,51.054501,36.407581,151648.609375,13.750505,10.167320,4.127722,16.433367,37.966167,44.331814,203.203079,13.382194,64.981155,347.178589,0.823424,1.477685,0.634088,0.366419,3.037275
1574651747.670063,1.871058,0.966508,0.570808,0.551756,1.635277,131.835068,914.399109,49.421524,34.710350,151984.281250,16.572428,10.835086,5.579597,17.112961,40.874115,55.452911,180.767609,12.859348,58.591431,339.123535,0.806219,1.642140,0.737761,0.368074,3.005439
1574651747.795952,1.073154,0.860574,0.536847,0.598308,1.576798,173.537231,895.766357,47.305172,33.879913,152308.515625,18.820328,10.929912,7.097623,16.638742,43.575554,63.787949,152.582413,13.665960,50.293171,320.121216,0.778304,1.741815,0.843165,0.390581,2.947597
1574651747.921946,1.464839,0.903196,0.575791,0.671941,1.455819,204.752686,873.748413,44.613064,33.620205,152542.218750,19.665449,10.540137,8.198259,15.226452,46.087681,66.958984,124.594093,16.397989,42.050449,294.873932,0.753958,1.739602,0.934273,0.428254,2.873853
1574651748.047837,2.740551,1.116683,0.674545,0.745400,1.311215,224.415619,853.790955,41.199997,33.167053,152660.000000,18.894701,9.955028,8.603079,13.316975,48.211914,66.807182,101.890900,20.726988,35.996048,269.806885,0.698106,1.625767,0.980776,0.468128,2.791143
1574651748.173725,4.791549,1.526306,0.870679,0.812410,1.196494,233.339676,834.380676,37.024105,32.039028,152690.500000,17.029587,9.534389,8.437122,11.374218,49.574940,67.222160,87.249321,25.428205,33.379974,250.876343,0.653520,1.419794,0.964481,0.504299,2.708571
1574651748.299843,7.373240,2.057288,1.162314,0.877264,1.165348,235.038361,809.633789,32.384048,30.025440,152690.281250,15.049019,9.465261,8.068446,9.725684,49.837650,71.527191,80.210266,29.243139,34.142624,241.345154,0.628958,1.172312,0.892609,0.548233,2.648180
1574651748.425855,10.044495,2.555979,1.506551,0.944163,1.246585,231.286499,773.268005,27.758181,27.291832,152701.640625,13.788925,9.608443,7.827003,8.519907,48.942139,81.292282,78.305824,31.452747,37.026321,240.819046,0.618266,0.947779,0.791263,0.621948,2.638931
1574651748.551860,12.558575,2.853328,1.849537,1.014802,1.425069,222.180908,725.530579,24.143761,24.656353,152716.937500,13.477970,9.655701,7.828310,7.776289,47.201653,94.680382,78.886604,32.480335,40.437088,245.840591,0.631802,0.818754,0.697665,0.742826,2.700212
1574651748.677972,19.302088,3.082689,2.087757,1.079507,1.648060,204.574753,675.088562,22.543182,23.576452,152677.421875,13.749968,9.396698,7.874261,7.452820,45.188686,107.568665,80.257523,33.201397,43.312317,251.679718,0.915425,0.876604,0.629026,0.910044,2.826285
1574651748.803983,46.742065,3.838118,2.173251,1.119581,1.847360,177.291031,635.500793,23.180090,25.286386,152522.000000,13.893332,8.736818,7.599232,7.489079,43.430340,115.679855,81.472893,34.639538,45.452583,254.456635,2.825460,1.182739,0.581233,1.096306,2.979045
1574651748.929879,112.567932,5.656307,2.087535,1.112661,1.966061,141.390198,616.005127,25.581776,30.216391,152236.687500,13.478866,7.902733,6.804992,7.873166,42.351837,115.333847,81.735054,37.309334,47.173477,252.553879,8.231191,1.736907,0.538460,1.257568,3.100604
1574651749.055985,223.890121,8.746682,1.904677,1.055225,1.982242,101.881241,615.253967,28.737139,37.936142,151874.546875,12.635712,7.308009,5.619944,8.638190,42.337551,107.196274,80.589897,40.623753,48.605309,246.918076,18.420053,2.451080,0.478253,1.351080,3.138234
1574651749.181877,364.548218,12.739847,1.811106,0.981832,1.923670,67.366295,623.143555,31.679531,47.463413,151530.437500,11.887928,7.398787,4.402541,9.706247,43.651115,93.714584,78.467628,43.104980,49.751293,240.205109,32.192039,3.199218,0.415142,1.358230,3.065754
1574651749.307890,498.084747,16.707104,1.981201,0.952449,1.850827,44.115749,628.914001,33.690609,57.267250,151284.640625,11.521111,8.534868,3.570216,10.870762,46.314762,77.256454,76.852158,43.717422,51.056278,235.236588,46.348820,3.839685,0.401312,1.298807,2.899591
1574651749.433999,582.528503,19.473104,2.472242,1.016624,1.817892,34.956852,630.387390,35.719273,65.644531,151159.546875,11.596299,10.718610,3.313146,11.898088,49.917484,59.861874,78.549530,42.212200,53.304134,233.911148,56.494446,4.227031,0.481163,1.219187,2.699326
1574651749.560001,586.862122,20.109388,3.159871,1.182233,1.842241,36.860607,635.442566,38.076210,71.282829,151114.375000,11.957857,13.543872,3.482569,12.596983,53.528492,43.409031,87.033974,38.773117,57.160488,237.458160,58.894001,4.262112,0.653572,1.162306,2.542854
1574651749.685872,512.146423,18.394882,3.793915,1.397182,1.896077,42.641262,655.052856,40.680279,73.459732,151083.093750,12.381495,16.281275,3.811623,12.843540,55.986340,30.234936,104.221825,34.509201,62.515472,246.786545,53.087238,3.936112,0.887038,1.141546,2.482918
1574651749.811878,380.950531,14.950211,4.102114,1.571930,1.924248,46.514065,692.732361,43.963947,71.741646,151015.734375,12.737622,18.145914,4.102752,12.589470,56.399815,21.430716,127.696030,30.076653,67.844490,261.634827,40.643059,3.338616,1.104543,1.134101,2.514759
