title:p5_vid_3, start timestamp:2019-11-24T22:27:47.393015-05:00, stop timestamp:2019-11-24T22:30:56.804779-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:1503      , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574652467.503742,20.382135,3.630198,1.153306,0.707051,0.487734,232.518677,132.822983,345.142181,343.026306,202.482468,21.157724,13.509599,9.087214,7.652112,6.608848,95.309647,23.746883,58.897747,28.098442,17.350801,6.161582,2.296239,0.952447,0.876037,1.006241
1574652467.630551,26.280193,4.323218,1.687003,0.929165,0.545336,222.363693,118.731445,256.645081,312.093628,185.330917,19.136541,15.736010,8.757503,6.744522,6.044863,92.797699,19.455042,39.533062,26.352339,17.730413,11.129857,3.016095,1.771430,1.163444,1.241574
1574652467.757127,52.067150,8.317222,6.240728,2.624111,0.842743,224.104858,127.197845,175.683594,272.813873,173.178680,17.165823,18.357567,7.484030,6.029769,5.628843,90.044281,21.588320,25.662209,26.083303,18.265238,39.877121,6.321812,5.708377,2.416607,1.446008
1574652467.883492,137.990509,26.631706,24.028109,9.310910,2.116864,241.535095,168.038635,117.445129,237.821243,166.840866,16.142035,20.538626,5.692447,5.402019,5.441733,84.649498,30.890083,19.109951,28.095547,19.184175,100.365120,16.004763,15.798346,5.721063,1.649773
1574652468.009468,386.991486,75.295509,64.624672,24.461958,5.128057,270.747925,244.385147,88.090927,215.511642,164.928146,16.778732,21.573948,3.994495,4.847404,5.549848,75.047516,46.088764,19.556938,32.170891,20.670801,202.509781,36.152111,33.265076,11.665525,1.913188
1574652468.135615,838.253784,163.658920,129.973358,48.384167,10.006110,300.406158,346.946869,83.207260,206.735260,164.537720,18.938673,21.015320,2.753367,4.525827,5.962071,61.353085,63.681797,24.322027,37.112396,22.734856,337.191132,68.763878,56.335754,19.624996,2.272243
1574652468.261975,1456.505737,284.319977,209.085205,76.694298,15.905800,318.527832,450.959900,91.904366,206.835648,163.707291,21.762392,19.195122,2.114641,4.692153,6.611559,46.513908,79.487953,30.151810,41.376087,25.144766,511.740356,113.292549,79.857208,27.743549,2.694108
1574652468.388403,2099.157471,410.827393,280.710754,101.492546,21.199118,315.468689,524.046204,104.032776,209.468536,162.890808,24.116825,17.268497,2.071418,5.514188,7.333620,34.421425,90.000458,34.958797,43.737606,27.448805,724.267151,163.530487,97.201836,33.565784,3.073457
1574652468.514734,2553.532959,506.335205,321.765259,114.651573,24.146372,291.120697,539.876343,114.281525,208.842453,164.834396,25.057007,16.475431,2.490645,6.913152,7.912139,27.429750,93.422760,37.482880,43.495495,29.093019,934.167114,208.428604,103.006332,35.123013,3.272751
1574652468.641070,2683.768799,539.801453,317.871735,111.551949,23.705904,252.481140,492.582428,123.246788,204.712021,173.107422,24.095213,17.479406,3.277986,8.543896,8.118656,27.076620,90.162521,37.666752,41.110012,29.727135,1109.725464,235.773621,95.617630,31.878185,3.191580
1574652468.767407,2431.332764,501.001038,270.775116,93.348251,20.042406,210.260086,400.756561,133.542984,202.195526,189.983566,21.727308,19.902109,4.269313,9.902352,7.817845,32.857327,82.124359,36.222076,37.760403,29.386076,1178.864868,237.194016,77.781693,24.985069,2.823703
1574652468.893853,1891.231689,404.351746,196.814026,66.350166,14.446631,177.848572,295.970459,146.088440,207.765976,214.247955,19.126072,22.564777,5.142310,10.550298,7.036462,44.784756,71.739571,34.016415,34.545811,28.306944,1131.486938,211.679276,55.238178,16.724571,2.268094
1574652469.020191,1244.149902,281.551788,119.464973,39.050301,8.716029,164.425446,208.959839,157.918396,224.329422,240.808578,17.481419,24.121038,5.616025,10.284280,5.923898,61.160957,60.929516,31.389284,31.904875,26.673513,959.184631,166.753632,34.156059,9.440660,1.682307
1574652469.146490,666.059814,167.373108,58.764145,18.262728,4.326560,172.685471,155.228806,163.280365,248.263947,261.855804,17.848818,23.702368,5.526960,9.179485,4.667136,80.270897,50.858101,28.407257,29.499302,24.444849,713.839966,114.976158,18.552639,4.564481,1.207554
1574652469.272791,284.852051,86.018661,23.018574,6.544583,1.854727,194.210907,131.122070,156.339447,270.424316,269.942871,20.562742,21.328053,4.887938,7.521821,3.442081,97.828629,41.628342,24.864527,26.567617,21.472383,447.757599,67.799278,9.191319,2.193701,0.912442
1574652469.399212,107.849052,42.195171,8.341562,2.157626,0.944500,218.360825,121.203621,136.057541,280.841675,263.548035,25.375172,17.883236,3.921816,5.698025,2.404362,109.402077,33.614517,20.827814,22.706846,17.933060,224.273117,32.744164,4.376299,1.436058,0.788542
1574652469.525522,64.838707,25.116129,4.612422,1.299331,0.792943,232.975494,111.274635,107.553894,273.828094,248.816574,31.322260,14.493637,2.933093,4.067448,1.679463,111.054298,27.327919,16.704342,18.264101,14.540586,82.618744,12.033602,2.080397,1.263402,0.788454
1574652469.651655,77.534317,20.346502,3.784246,1.171074,0.801941,230.557770,96.806541,79.242477,250.731430,236.341660,37.074341,12.003869,2.200950,2.848487,1.326622,102.018456,23.111561,13.117597,13.978617,12.207257,22.425251,3.612832,1.167785,1.191171,0.863081
1574652469.777873,91.965530,19.351336,3.382698,1.127597,0.814848,209.874344,81.535965,59.103321,218.531601,235.769379,41.192760,10.595734,1.896610,2.136830,1.327568,84.929192,20.927811,10.413567,10.792629,11.876414,10.228776,1.845198,0.929767,1.102248,0.971819
1574652469.904297,104.731537,18.855764,3.072011,1.135554,0.799737,176.834213,70.965378,53.088963,186.257294,250.568176,42.434734,9.952273,2.057126,2.041789,1.653858,65.220497,20.180710,8.722205,9.745105,14.629153,13.636453,1.726417,0.859588,0.989308,1.076051
1574652470.030599,115.851379,17.734863,2.826241,1.191885,0.755427,140.629532,71.027016,62.975712,162.245636,276.079132,40.427906,9.531855,2.710461,2.700838,2.294098,48.615177,20.669371,8.303082,11.770567,21.637943,14.296321,1.804681,0.911231,0.880458,1.144814
1574652470.156906,109.760178,16.064070,2.715434,1.290788,0.694308,109.431374,86.674072,88.809395,152.667801,302.876801,36.151352,9.027739,3.974315,4.184033,3.218118,38.405441,24.375469,10.263173,17.137026,33.413719,14.445168,1.842502,1.050576,0.799800,1.164633
1574652470.283214,94.715851,14.024635,2.702725,1.389179,0.625097,85.699249,121.290497,129.154144,159.106628,322.144775,31.228220,8.210627,6.073675,6.363137,4.323685,34.318874,36.023739,15.975698,25.189241,48.943340,12.641420,1.827478,1.270447,0.762546,1.145061
1574652470.409466,75.084770,11.814082,2.693640,1.427734,0.553651,71.054245,173.299423,180.019653,178.026917,330.398193,27.257702,7.236601,9.110988,8.995109,5.429373,35.665920,60.966949,26.435274,34.930256,65.623779,9.706016,1.738800,1.521913,0.768107,1.113909
1574652470.535831,51.439308,9.621759,2.589602,1.371280,0.484375,73.626190,234.852951,235.385010,202.715149,329.773621,25.738634,6.745829,12.898651,11.778549,6.352608,42.319527,99.962372,41.740993,44.811268,79.808510,6.809210,1.615674,1.763066,0.804856,1.103834
1574652470.662108,34.552544,7.705456,2.450078,1.231736,0.424049,110.997978,292.968018,287.409912,225.338516,324.071411,28.011265,7.315373,16.933201,14.393538,6.958982,58.991512,146.231979,61.439102,52.851200,87.820267,4.269008,1.507579,1.945802,0.865536,1.138867
1574652470.788261,21.250401,6.343137,2.349414,1.054136,0.379028,195.480392,332.785950,327.072510,239.566406,315.233643,34.394768,8.823054,20.452843,16.571690,7.214985,89.267952,187.778198,84.200081,57.690414,87.452972,3.032706,1.485111,2.107882,0.964225,1.220841
1574652470.914659,14.611514,5.446142,2.474146,0.889646,0.349384,324.225555,341.645447,346.793701,242.066528,302.183350,44.526150,10.450218,22.694658,18.119055,7.174784,132.586258,212.873581,106.624161,59.242569,79.023399,2.497938,1.580521,2.299568,1.122452,1.326153
1574652471.040909,11.146536,4.903491,2.824542,0.799617,0.340595,474.774628,316.299713,344.191345,232.510559,282.792053,57.114948,11.387006,23.181131,18.870277,6.938910,180.955307,214.808670,125.055511,58.260948,65.198959,2.578893,1.806729,2.591351,1.361855,1.419902
1574652471.167204,9.927344,4.731234,3.380955,0.825469,0.365424,614.020996,264.443726,323.238037,211.896515,256.640594,70.910202,11.491104,22.042618,18.817019,6.608814,222.115997,194.064911,137.905060,55.639626,49.859043,2.932036,2.119193,2.971255,1.673271,1.466756
1574652471.293492,10.502273,5.106312,4.037714,0.975553,0.436901,716.704651,202.334702,295.366394,185.169846,226.677124,84.236961,11.309884,19.978498,18.223045,6.322994,248.044418,159.117737,147.096176,52.478912,36.640995,3.073670,2.482543,3.397839,2.007561,1.447437
1574652471.419874,11.424971,6.059088,4.710749,1.209886,0.552817,774.614929,147.844543,272.011230,160.074448,198.563202,95.300011,11.526861,17.927999,17.527473,6.208614,257.831329,122.615448,157.047028,49.382282,27.726208,3.359256,2.843225,3.754217,2.286510,1.363801
1574652471.546127,12.956106,7.444649,5.244156,1.459236,0.686883,796.714661,117.985252,260.667877,144.774734,177.904297,102.240257,12.665943,16.595116,17.083822,6.335258,259.713104,96.451607,170.722198,46.798351,23.308365,3.476231,3.200209,3.924516,2.425241,1.235236
1574652471.672410,14.514170,9.050308,5.467304,1.649179,0.796843,799.353760,122.234253,264.213287,143.503281,167.257523,103.755913,14.611391,16.233601,16.955940,6.720789,264.809631,86.724396,188.410065,44.865341,22.242390,3.577105,3.551630,3.833240,2.378846,1.088527
1574652471.798672,15.580343,10.547253,5.226214,1.727843,0.847658,792.879089,158.291306,281.017456,154.847519,164.846451,99.602333,17.096859,16.723255,16.885010,7.314590,280.574219,92.306664,208.505005,43.632751,23.265482,3.451731,3.884128,3.502974,2.156193,0.946155
1574652471.925063,15.677835,11.628644,4.542194,1.684792,0.828417,780.300293,215.540283,306.988983,173.892410,167.311615,90.737419,19.696030,17.570480,16.413164,7.935296,305.023895,107.383507,227.978012,43.168503,25.741407,3.398720,4.177453,3.057550,1.814076,0.821080
1574652472.051321,15.195730,11.976028,3.611522,1.556746,0.754764,763.263977,280.207367,338.397461,194.233795,172.394989,79.195885,22.002703,18.127281,15.231726,8.335777,329.080353,126.271194,242.996475,43.257687,29.408348,3.362094,4.398833,2.702866,1.451760,0.721523
1574652472.177550,15.501955,11.519917,2.696123,1.404467,0.661522,744.276001,335.444916,374.550415,208.917297,178.946106,67.630112,23.569944,18.231989,13.310117,8.334361,340.859772,143.481094,249.366852,43.385185,33.789734,3.709833,4.511711,2.618536,1.191691,0.654315
