title:p5_vid_1, start timestamp:2019-11-24T22:21:30.471886-05:00, stop timestamp:2019-11-24T22:25:04.940826-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:1701      , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574652090.590347,528.458374,92.956238,41.893265,12.950541,3.580100,329.228638,48.234444,299.044312,579.678894,987.490906,84.819366,10.841965,11.136674,6.809652,3.787106,238.522629,82.143921,121.742928,47.088619,44.259827,51.941471,12.086628,1.148459,0.684419,0.597671
1574652090.716713,329.672241,41.396885,17.128174,5.199776,1.705510,204.012146,36.143776,264.828888,515.742493,978.088989,90.672539,8.457787,7.994684,4.879855,2.920884,177.974899,56.202492,86.655777,29.731020,33.778782,46.399925,11.175602,0.994433,0.705453,0.614183
1574652090.843030,198.582169,18.043404,5.057268,1.923155,0.875811,117.730644,29.177782,223.872818,473.005920,952.718750,91.047272,6.179596,4.952122,3.231780,2.092405,113.716835,33.118595,52.570450,15.695319,22.618448,37.294838,9.659912,0.915442,0.711811,0.626659
1574652090.969368,129.154434,12.836093,1.361807,1.231148,0.669229,71.186409,28.661665,185.861832,449.177521,911.840515,86.723267,4.269968,2.649593,2.193541,1.514808,61.354931,17.419540,26.835302,7.575467,14.201830,28.619698,7.945588,0.925606,0.705321,0.631909
1574652091.095769,105.059792,14.199567,0.740810,1.189824,0.649217,50.643799,33.558945,156.635300,429.851593,856.100159,79.177574,2.907305,1.433186,1.871170,1.363225,28.746883,9.985580,11.915988,5.430690,11.195722,24.308725,6.486271,0.998254,0.696220,0.626125
1574652091.222200,117.352272,17.039616,0.781180,1.139707,0.657655,42.145565,43.318508,138.337433,400.343750,789.598389,69.994919,2.151097,1.351969,2.190123,1.743743,14.067859,9.169532,5.965408,7.294870,14.442233,23.601837,5.370977,1.088501,0.703249,0.605892
1574652091.348405,152.144012,20.058540,1.033673,1.081529,0.694521,42.904034,58.791294,130.370636,358.415100,719.933777,60.135483,2.125208,2.191754,2.958931,2.630902,10.910288,12.789284,5.407662,11.049082,22.677458,26.684347,4.617670,1.165090,0.738826,0.570235
1574652091.474823,195.438507,22.707066,1.336910,1.037301,0.755280,58.160248,80.622658,133.247665,315.344116,658.265015,50.177933,2.862262,3.597204,3.977863,3.851748,14.958730,19.364645,7.231059,15.405757,33.194176,30.869711,4.010958,1.211247,0.804420,0.521978
1574652091.601364,226.862991,24.141510,1.625661,1.016123,0.817525,92.283905,107.364326,143.751129,282.783020,615.295288,40.515549,4.042170,5.189701,5.029088,5.119936,24.224195,27.847555,9.850833,19.241993,43.013374,34.274448,3.394204,1.225761,0.888008,0.467893
1574652091.727502,238.214996,23.576077,1.905392,1.010245,0.853805,142.777710,134.699554,154.762848,266.511536,598.673889,31.870865,5.251214,6.564284,5.851656,6.102809,36.867393,35.917862,12.412773,21.591002,49.618572,34.354061,2.746869,1.210575,0.963117,0.419625
