title:p3_vid_3, start timestamp:2019-11-23T21:11:08.582612-05:00, stop timestamp:2019-11-23T21:14:17.913674-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:1502      , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574561468.685075,3.343313,1.808696,0.602477,0.566639,1.782615,3.164632,0.978255,0.743839,1.105240,1.203637,1029.720459,335.550812,164.032150,72.290894,84.631569,102.467239,24.822639,9.413863,1.598449,32.251076,4.794462,3.413213,0.271841,0.333879,0.858730
1574561468.811547,9.343973,2.792550,0.816647,0.685661,1.983830,2.849478,1.265929,0.883350,1.130758,1.358558,1332.501465,430.674774,210.046265,91.918167,107.270874,130.707581,31.425606,11.943995,1.966061,41.087559,6.165274,2.971661,0.275088,0.335856,1.018166
1574561468.937850,26.936712,5.875177,1.203718,0.818768,2.050643,2.341641,1.529808,1.017490,1.167856,1.541060,1472.158081,470.773804,229.035324,99.586456,115.888191,142.857162,34.619793,13.038157,2.108737,44.635803,11.229778,3.601068,0.423907,0.374813,1.107087
1574561469.064332,58.622562,11.285051,1.793826,0.938975,1.954436,1.856297,1.703643,1.105048,1.191273,1.706042,1390.833252,441.249084,214.024979,92.494064,107.357033,134.165085,33.060135,12.278189,1.962786,41.615864,21.167511,5.307961,0.746029,0.440537,1.108026
1574561469.190747,100.669739,18.141588,2.516720,1.031816,1.726453,1.603925,1.758423,1.118420,1.181237,1.832721,1123.477173,352.719788,170.402588,73.205650,84.761276,107.741501,27.134031,9.904883,1.579666,33.126175,35.339897,7.663863,1.198157,0.527074,1.037973
1574561469.317567,142.822800,24.580122,3.206526,1.094963,1.448172,1.684305,1.704934,1.057020,1.135264,1.922815,760.363342,235.971970,113.422363,48.429344,55.912434,72.768822,18.938732,6.791553,1.111136,22.109922,50.644958,9.932924,1.680846,0.630421,0.938117
1574561469.444359,171.917206,28.564306,3.674539,1.139012,1.211719,2.058290,1.585912,0.954064,1.075572,1.987130,415.799530,127.363510,60.744720,25.789167,29.611067,40.031956,11.172725,3.945548,0.727841,11.945613,62.536350,11.373295,2.077111,0.746706,0.850470
1574561469.570916,178.012024,28.830198,3.777036,1.170396,1.074935,2.555943,1.453103,0.852251,1.027567,2.031392,172.562561,52.474052,24.583401,10.412373,11.735411,17.404448,5.817467,2.035961,0.535416,4.941544,66.906937,11.556766,2.291124,0.866707,0.800175
1574561469.697467,160.345917,25.317524,3.411301,1.179673,1.038137,2.955577,1.342746,0.781661,1.003322,2.050948,49.382965,16.351507,7.351398,3.192982,3.280520,6.402848,3.411208,1.179066,0.551601,1.565350,62.784554,10.529864,2.245418,0.971960,0.786914
1574561469.824273,130.005249,19.660240,2.769635,1.167039,1.056102,3.116616,1.262280,0.760217,0.996738,2.044898,16.089504,7.074466,3.072815,1.554283,1.231174,3.610684,3.098368,1.040594,0.731247,0.740622,53.913280,9.028903,2.024232,1.049588,0.792178
