title:p3_vid_1, start timestamp:2019-11-23T20:53:48.879860-05:00, stop timestamp:2019-11-23T20:57:34.215490-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:874       , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574560445.239882,47.344494,15.498772,6.283045,2.442425,2.469415,29.355701,24.954929,10.200248,8.956721,37.893501,166.533524,228.119949,158.705994,188.354401,627.828247,81.210464,111.955276,91.459427,93.070328,330.043365,47.418365,12.332276,4.689673,2.098001,2.782768
1574560445.365866,34.658760,10.807019,5.294338,1.994496,1.766484,25.509777,23.925781,9.976251,7.049695,36.805851,195.764755,237.520645,140.664551,155.974533,624.551147,124.361885,117.630470,65.616234,70.707100,329.908356,31.332285,8.259089,3.621027,1.520624,2.116407
1574560445.491949,30.703156,9.091677,5.021096,2.098790,1.294569,22.520975,22.424540,9.183193,5.850588,34.436241,231.254837,243.320953,128.174576,135.510117,598.811218,176.653625,129.171097,46.281071,55.743443,313.815887,18.799208,4.784918,2.669452,1.061092,1.476898
1574560445.617833,42.648251,13.284468,6.105347,3.157978,1.275382,20.579220,20.659018,8.051760,5.422454,30.560938,267.680176,242.526886,119.689323,128.738739,547.385803,226.445770,144.076065,35.492596,50.093071,279.582642,12.695613,2.917527,2.075741,0.853327,1.007702
1574560445.743716,71.880707,23.733841,8.621625,5.218160,1.737679,19.151897,18.642454,6.847025,5.551513,25.514324,296.522064,230.602905,111.321709,130.522186,475.050537,261.226532,156.941849,31.911709,51.706200,232.618774,13.191786,2.857023,1.872276,0.931604,0.749115
1574560445.869700,110.983765,38.281929,12.138459,7.848672,2.497243,17.516224,16.486208,5.753947,5.911193,20.092110,308.885468,204.967545,98.510750,131.686996,392.941956,274.034851,163.213455,32.088898,56.310337,182.858902,18.038454,4.109478,1.956798,1.230689,0.650015
1574560445.995683,148.958939,53.085659,15.835327,10.319431,3.244658,16.066902,14.464209,5.029913,6.298389,15.183677,300.113220,167.738785,81.315361,125.760818,313.598694,270.662109,160.802551,34.737778,60.820957,139.624359,24.955296,5.873382,2.217377,1.648207,0.625071
1574560446.121667,178.183289,64.728523,18.919321,11.904106,3.698100,16.131104,12.947133,4.795856,6.758675,11.424335,274.907227,127.440063,63.015293,113.125893,245.775360,263.328644,151.156509,39.583424,65.567780,107.886261,33.287338,7.735334,2.684388,2.090214,0.617572
1574560446.247550,196.182663,70.926781,20.752522,12.161314,3.696305,19.062561,12.308970,4.840134,7.356484,9.100365,242.030258,93.824730,47.185097,98.237976,193.609573,264.981537,137.412003,44.554489,71.612251,87.960556,43.103180,9.524699,3.375052,2.468802,0.602416
1574560446.373534,203.031906,70.734734,21.034130,11.084067,3.240994,25.072653,12.731601,4.863540,8.001808,8.072816,213.368073,72.301521,35.790707,85.877602,157.025574,283.089539,123.844170,46.990498,78.704453,77.069206,53.331402,10.993991,4.165883,2.693162,0.564129
1574560446.499517,200.085037,65.036263,19.843513,9.078366,2.490154,32.600655,14.002430,4.644359,8.460425,7.898396,201.183228,63.602837,29.288591,78.541100,132.979172,312.454987,113.630333,45.136902,84.903137,71.329102,61.627937,11.951590,4.832853,2.698153,0.498701
1574560446.625401,188.443222,55.761108,17.524748,6.775074,1.680929,39.065086,15.441483,4.179089,8.444361,8.067359,219.279968,64.077087,26.775002,75.653915,117.448090,340.115448,107.372223,39.369030,87.187393,67.334618,65.203392,12.221773,5.138766,2.477149,0.414488
1574560446.751384,169.920334,45.262253,14.564577,4.734523,1.022468,42.102360,16.171867,3.537865,7.790703,8.167960,279.421021,69.583908,26.534775,74.464546,106.860741,351.721161,102.496552,30.918945,83.206078,63.056725,62.969921,11.759073,4.958214,2.081867,0.326509
1574560446.877268,146.713058,35.114674,11.402589,3.241636,0.616152,40.535553,15.844114,2.885175,6.597679,8.007892,378.305756,77.665184,27.119774,72.247429,100.226891,338.976593,99.368011,22.413607,72.915932,58.583046,55.967964,10.583549,4.348027,1.610695,0.251954
1574560447.003251,122.227509,25.890162,8.422465,2.286376,0.437811,35.529549,14.624270,2.389967,5.202234,7.620909,492.838715,86.981720,29.243000,67.676506,98.129601,308.776825,100.611282,16.380985,58.660004,55.440388,47.161236,8.812584,3.512547,1.168698,0.204477
1574560447.129135,100.867264,17.747580,5.930672,1.688658,0.396360,29.419453,12.918458,2.147169,4.023216,7.200773,588.160828,97.416153,34.356644,61.064503,100.488892,274.267914,107.753349,13.946042,44.095928,55.222603,39.786400,6.751047,2.710159,0.832200,0.190563
