title:p4_vid_2, start timestamp:2019-11-24T16:21:26.639519-05:00, stop timestamp:2019-11-24T16:23:48.126102-05:00, headset type:INSIGHT, headset serial:5A68CC28, headset firmware:925, subject name:sdahiya, channels:25, sampling rate:8, samples:1123      , version:2.0
Timestamp,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma
1574630486.647305,38.871792,8.836941,2.447318,0.654899,1.200029,17.646456,21.684895,21.897394,39.474758,126.004662,32.577076,16.846916,15.224328,30.548782,96.838898,59.800964,58.967491,52.271336,144.223114,452.875214,16.224581,5.949458,1.305690,1.086728,0.810347
1574630486.773376,18.441633,4.457503,1.333895,0.572747,1.214820,16.445448,15.882588,13.230140,27.817137,136.661606,30.143497,12.621793,8.639104,20.324728,105.886200,40.740849,35.866112,27.518576,97.560394,496.580597,10.333537,4.875165,1.386511,1.054451,0.790052
1574630486.899348,7.686236,2.340541,0.936919,0.565764,1.195500,16.407976,12.212913,8.426685,23.404457,143.006241,26.396738,9.497614,5.042945,15.929086,111.565437,25.329754,21.164946,14.570587,79.341316,522.860291,6.676024,4.144786,1.539881,1.045475,0.797378
1574630487.025318,4.184781,1.684904,0.982735,0.635102,1.151479,18.037910,10.114381,6.410341,23.521469,146.559967,22.416876,7.287423,3.474731,15.417177,114.981339,15.621986,13.643865,9.637771,78.594864,536.713562,4.975374,3.628470,1.703507,1.057064,0.832498
1574630487.151288,3.658155,1.556735,1.150598,0.752005,1.099030,21.045628,8.750426,5.738529,25.543848,148.495987,19.706020,5.784452,2.701192,16.626060,117.088570,11.144316,9.980349,7.726567,84.773277,542.994934,4.267276,3.169494,1.830727,1.091465,0.883621
1574630487.277255,3.663341,1.573364,1.316230,0.880152,1.058360,24.440254,7.656798,5.473471,28.020329,149.233200,20.031204,5.036008,2.046538,18.179735,118.298141,10.247890,7.779865,6.108969,91.683022,544.567566,4.062744,2.734907,1.893550,1.150249,0.935822
1574630487.403334,3.935735,1.677908,1.503151,1.002816,1.042512,27.141424,6.767504,5.320519,30.176769,148.809265,24.551538,5.437572,1.547336,19.585014,118.582695,11.128293,6.601911,4.543264,97.654137,542.583984,4.256096,2.373007,1.889824,1.223588,0.979435
1574630487.529304,4.486425,1.883095,1.705188,1.116203,1.046570,28.446131,6.143083,5.090040,31.784859,147.093918,32.868782,7.106988,1.266105,21.047144,117.545128,12.490585,6.498534,3.231670,103.875435,536.278198,4.775773,2.241207,1.801713,1.285246,1.016560
1574630487.655274,5.288807,2.181056,1.899403,1.222085,1.054115,28.390526,5.817099,4.705042,33.339985,144.889832,42.841095,9.523298,1.134485,23.162699,115.270935,13.916110,7.174331,2.308684,113.091751,526.686890,5.577250,2.471350,1.650425,1.307643,1.057909
1574630487.781347,6.138172,2.491435,2.048314,1.319246,1.049934,27.550585,5.934978,4.193723,35.336651,143.499603,51.302624,11.706162,1.056531,26.273205,112.426270,15.293513,8.172637,1.789598,126.678040,516.645203,6.528561,3.034607,1.497891,1.278695,1.107922
1574630487.907320,6.739300,2.714520,2.099405,1.394817,1.020350,26.469250,6.628133,3.694277,38.224949,143.228745,54.960819,12.672216,1.015207,30.462557,109.409927,16.268318,9.036017,1.670692,144.431961,506.773315,7.262116,3.724082,1.389908,1.202209,1.158301
1574630488.033167,6.805511,2.788445,2.019388,1.441460,0.955447,25.301386,7.754596,3.373152,43.581448,142.662796,51.850693,11.955597,1.024444,36.644989,105.740509,16.350176,9.455625,1.937907,169.312759,493.398132,7.445901,4.265722,1.340366,1.090173,1.191512
1574630488.159137,6.364512,2.715905,1.809498,1.476170,0.859456,24.044037,8.986606,3.449869,54.632965,139.054840,42.768723,9.923493,1.139704,47.336014,100.168182,15.247848,9.404531,2.683207,211.412201,469.698059,6.894560,4.430579,1.321690,0.955928,1.190902
1574630488.285106,5.796742,2.543914,1.518487,1.530761,0.756914,22.807653,9.897944,3.949507,73.788765,130.513153,33.495670,8.300210,1.634475,64.680206,92.198860,13.283370,8.980629,3.935527,279.729584,431.797241,5.838609,4.136273,1.291993,0.819421,1.150737
1574630488.411177,5.596500,2.352684,1.218168,1.621556,0.679107,21.936628,10.125258,4.707501,99.521263,117.756630,36.870255,10.285004,2.830797,87.493675,83.152061,11.391291,8.271706,5.600147,369.910492,382.780670,4.716000,3.514085,1.226956,0.705555,1.083207
1574630488.537042,6.093463,2.222714,0.980002,1.731954,0.645866,21.763950,9.492546,5.408113,125.414742,104.208839,64.349449,18.777422,4.895008,110.338715,75.880936,10.567549,7.378345,7.453382,460.288483,333.668640,3.954192,2.825018,1.132108,0.630255,1.016814
1574630488.663014,7.212191,2.149428,0.837042,1.812347,0.659052,22.444530,8.075934,5.709973,142.563522,94.728157,117.145271,34.169258,7.632094,125.542969,73.637886,11.306105,6.363217,9.139920,519.737732,300.492279,3.739722,2.284707,1.030272,0.590171,0.984718
1574630488.789084,8.788738,2.098344,0.797203,1.819969,0.704139,23.845985,6.279417,5.505076,144.784195,93.198074,183.360504,53.332352,10.434036,127.434723,78.295296,13.334641,5.455074,10.483106,525.342346,296.790131,4.073258,2.022384,0.971716,0.591413,1.005878
1574630488.915054,10.745322,1.998590,0.909324,1.755875,0.757103,25.261024,4.590869,4.937752,132.431305,99.687393,242.034973,70.423325,12.574258,115.788322,88.557266,15.740454,5.049133,11.947173,476.578033,323.691711,4.837012,1.993664,1.107467,0.651711,1.067410
1574630489.041014,12.814594,1.848587,1.251814,1.672770,0.795562,26.033535,3.429241,4.493865,113.531952,110.380600,272.696869,79.615921,13.543221,97.146942,100.316742,17.425081,5.455845,14.430847,401.569794,368.689270,5.900990,2.114695,1.615370,0.785521,1.131442
1574630489.166986,14.768806,1.693249,1.860783,1.638241,0.801255,25.891342,2.921598,4.717004,99.712502,119.519691,264.389221,77.526009,13.382988,81.393013,108.373581,17.816317,6.691629,18.606560,343.000275,411.089905,7.091910,2.275007,2.555063,0.999900,1.159970
1574630489.292955,16.246361,1.578324,2.638645,1.677771,0.763623,25.159227,2.911745,5.855920,98.411232,122.793587,220.090485,64.924332,12.447053,75.333527,109.151123,16.954666,8.393369,24.217396,329.723907,433.358643,8.148730,2.386620,3.771291,1.269389,1.141539
1574630489.418927,16.808311,1.549003,3.376710,1.759474,0.689235,24.032244,3.130675,7.636049,108.470398,119.946671,155.016754,46.320232,11.195842,78.912201,102.942505,15.326550,9.900844,29.760698,359.524963,431.431610,8.781497,2.424675,4.932837,1.536250,1.101503
1574630489.545000,16.140133,1.646251,3.831420,1.821631,0.602407,22.921051,3.417941,9.360189,121.792786,114.939194,89.610893,27.624432,10.056482,86.345581,93.959480,13.675281,10.628807,33.196743,404.418610,416.694611,8.784594,2.439465,5.643960,1.736915,1.092630
1574630489.670870,14.664000,1.958593,3.843821,1.812558,0.540809,21.885756,3.834572,10.212597,128.339523,113.135315,40.659836,13.491170,9.191945,90.039703,87.806442,12.511858,10.399600,32.874332,428.387329,407.648010,8.394849,2.591092,5.645744,1.835720,1.168929
1574630489.796961,13.107384,2.576072,3.424284,1.725944,0.547247,20.994951,4.524055,9.725538,121.915131,117.847878,13.970952,5.657186,8.563059,85.006973,88.220123,11.857608,9.437828,28.676304,407.684265,417.808899,8.121318,3.067898,4.935981,1.834373,1.354078
1574630489.922941,12.061325,3.516441,2.733649,1.605159,0.650748,20.197672,5.472067,8.032290,102.748993,128.540054,4.853220,2.882503,7.965083,71.090225,95.267754,11.506258,8.067207,22.026262,341.472443,448.455841,8.285452,3.966525,3.767937,1.763628,1.628692
1574630490.048931,11.706034,4.667328,2.008939,1.510892,0.854332,19.692371,6.520525,5.789708,76.359901,141.491440,3.766302,2.527283,7.256157,52.016617,105.828339,11.043774,6.609776,15.126564,248.024979,489.350128,8.934771,5.194279,2.524130,1.665419,1.939238
1574630490.174920,11.747645,5.800886,1.466647,1.468515,1.136392,19.299181,7.480347,3.772423,50.211983,152.445129,3.891881,2.614495,6.462848,33.059383,116.115021,10.262180,5.421136,9.877063,153.868057,527.527100,9.788705,6.475543,1.544981,1.569914,2.224559
1574630490.300909,11.899421,6.683565,1.297338,1.480721,1.452703,19.023148,8.152445,2.493815,30.054869,158.911835,4.013303,2.665985,5.697272,18.389353,123.737701,9.257762,4.843446,7.141991,80.507866,555.254211,10.555751,7.417778,1.067257,1.490317,2.445243
1574630490.426997,11.909813,7.187040,1.552796,1.522017,1.744464,18.445795,8.460629,2.013632,17.937346,160.704880,4.594022,2.675197,4.971341,9.541775,128.060150,8.068807,4.968511,6.376541,36.325336,571.546448,10.991568,7.741118,1.132160,1.421499,2.595693
1574630490.552985,11.900959,7.499164,2.148604,1.561900,1.953995,17.418537,8.439047,2.037633,13.888734,159.258667,6.115334,2.630939,4.334357,6.484274,129.628510,6.828701,5.649298,6.452817,21.642014,579.161560,11.222918,7.551410,1.584928,1.358810,2.688040
1574630490.678971,12.254521,7.860887,2.924109,1.570953,2.045218,15.850322,8.147591,2.191969,17.276102,156.405136,8.666907,2.515275,3.842061,8.471026,129.255630,5.573159,6.575230,6.482644,32.637543,580.273315,11.597916,7.161265,2.224585,1.304150,2.734475
1574630490.805064,13.349037,8.455067,3.644675,1.533655,2.022042,14.110021,7.627445,2.281239,27.450134,153.098404,11.707270,2.351599,3.603369,14.792984,127.308479,4.436545,7.357335,6.395158,65.419731,574.084656,12.390798,6.940967,2.863513,1.262016,2.735662
1574630490.931051,15.179671,9.164173,4.092020,1.454146,1.924950,12.666640,6.991412,2.572671,43.962490,148.974609,14.307447,2.264766,3.849953,25.200842,123.472420,3.550318,7.812125,7.486116,118.634277,557.264343,13.484093,6.992208,3.325852,1.243824,2.679487
1574630491.056927,17.019041,9.615257,4.135292,1.371391,1.809997,11.885684,6.298773,3.598641,66.746872,142.434143,15.686875,2.369768,4.812606,40.072906,116.815559,2.985260,7.831079,11.905142,194.153549,525.220581,14.316660,7.113147,3.483733,1.266805,2.552552
1574630491.182903,18.005777,9.416642,3.809471,1.347322,1.730611,11.902470,5.652572,5.912779,94.611725,131.764969,15.415944,2.710825,6.658420,59.253803,106.530388,2.748577,7.454929,21.642094,290.918121,475.356628,14.207252,6.969679,3.325214,1.362320,2.366845
